VSL_CD,VSL_NM,NMNL_CAPA,OWN_YN,CTRK_ACTL_DEL_DT,DEL_MAX_DT,CTRK_ACTL_RDEL_DT,RDEL_MAX_DT,NEXT_DK_DUE_DT,NEXT_DK_IN_DT,NEXT_DK_OUT_DT,NEXT_DK_SHPYD_NM,BLT_YEAR_NM,SHPYD_NM
OHIT,ONE HELSINKI,8974,C,2018/04/19 00:00:00,2018/04/19 00:00:00,2030/04/27 00:00:00,2030/04/27 00:00:00,,,,,,
OSWT,ONE SWAN,14000,C,2018/04/22 00:00:00,2018/04/22 00:00:00,2032/09/22 00:00:00,2032/09/22 00:00:00,,,,,,
OTNT,ONE MANHATTAN,13900,C,2018/04/01 00:00:00,2018/04/01 00:00:00,2030/10/15 00:00:00,2030/10/15 00:00:00,,,,Guangzhou Wenchong Shipyard.,,
OWRT,ONE WREN,14026,C,2018/05/07 00:00:00,2018/05/06 00:00:00,2033/03/28 00:00:00,2033/03/28 00:00:00,,,,SHA, HRDD,,
OXMT,ONE MAXIM,6724,C,2018/05/15 00:00:00,2018/05/12 00:00:00,2029/12/07 00:00:00,2030/04/07 00:00:00,2025/06/06 00:00:00,2025/04/08 00:00:00,2025/04/15 00:00:00, ,,
ASDT,ASIATIC PRIDE,1049,C,2025/04/25 00:00:00,2025/04/29 00:00:00,2027/03/25 00:00:00,2027/05/25 00:00:00,2028/09/28 00:00:00,,,,,
OTHT,ONE THESEUS,6480,C,2018/04/20 00:00:00,2018/04/20 00:00:00,2028/09/25 00:00:00,2029/01/25 00:00:00,2025/12/06 00:00:00,,,HRDD, Shanghai,,
OMVT,ONE MANEUVER,6724,C,2018/04/28 00:00:00,2018/04/28 00:00:00,2030/11/09 00:00:00,2031/03/09 00:00:00,,,,,,
OOHT,ONE ORPHEUS,9040,C,2018/04/11 00:00:00,2018/04/11 00:00:00,2028/06/02 00:00:00,2028/10/02 00:00:00,,,,,,
OHWT,ONE HAWK,14026,C,2018/04/01 00:00:00,2018/04/26 00:00:00,2032/03/31 00:00:00,2032/03/31 00:00:00,2025/07/09 00:00:00,2025/05/09 00:00:00,2025/05/27 00:00:00,Beihai Shipyard, Qingdao,,
SNKT,SEASPAN KYOTO,4520,C,2020/03/26 00:00:00,2020/03/26 00:00:00,2026/03/01 00:00:00,2026/05/01 00:00:00,,,,,,
SNTT,SEASPAN TOKYO,4520,C,2020/04/06 00:00:00,2020/04/06 00:00:00,2026/03/01 00:00:00,2026/05/01 00:00:00,,,,,,
SOKT,SEASPAN OSAKA,4520,C,2020/03/26 00:00:00,2020/03/26 00:00:00,2026/03/01 00:00:00,2026/05/01 00:00:00,,,,,,
MYST,MARIELYST,1084,C,2023/04/28 00:00:00,2023/05/08 00:00:00,2027/06/10 00:00:00,2027/09/10 00:00:00,,,,,,
OHOT,ONE HANOI,8974,C,2018/04/14 00:00:00,2018/04/14 00:00:00,2031/03/26 00:00:00,2031/03/26 00:00:00,,,,,,
OWLT,ONE OWL,14000,C,2018/04/05 00:00:00,2018/04/05 00:00:00,2032/12/24 00:00:00,2032/12/24 00:00:00,2026/01/26 00:00:00,2025/11/22 00:00:00,2025/12/17 00:00:00,Beihai Shipyard, TAO,,
SZET,SEABREEZE,2553,C,2021/10/05 00:00:00,2021/10/02 00:00:00,2027/07/09 00:00:00,2027/09/24 00:00:00,,,,,,
AEIT,ARIES,6492,C,2021/02/05 00:00:00,2021/01/21 00:00:00,2029/03/05 00:00:00,2029/07/05 00:00:00,,,,,,
ARUT,ARGUS,6492,C,2021/03/03 00:00:00,2021/03/03 00:00:00,2029/05/03 00:00:00,2029/08/03 00:00:00,,,,,,
ONVT,ONE INNOVATION,24136,C,2023/06/02 00:00:00,2023/06/02 00:00:00,2038/06/02 00:00:00,2038/06/02 00:00:00,,,,,,
NCFT,ONE FALCON,14026,C,2018/04/13 00:00:00,2018/04/13 00:00:00,2032/06/26 00:00:00,2032/06/26 00:00:00,2025/06/18 00:00:00,,,,,
ZEUT,ZEUS LUMOS,15000,C,2021/03/10 00:00:00,2021/03/19 00:00:00,2038/03/10 00:00:00,2038/11/10 00:00:00,,,,,,
ZOST,ZEAL LUMOS,15000,C,2021/07/30 00:00:00,2021/07/31 00:00:00,2038/07/30 00:00:00,2039/03/30 00:00:00,,,,,,
ZPLT,ZEPHYR LUMOS,14952,C,2021/01/06 00:00:00,2021/01/12 00:00:00,2038/01/06 00:00:00,2038/09/06 00:00:00,,,,,,
LSPT,SONGA LEOPARD,1794,C,2025/06/08 00:00:00,2025/06/12 00:00:00,2025/09/06 00:00:00,2025/10/16 00:00:00,,,,,,
OIST,ONE MISSION,6724,C,2018/05/02 00:00:00,2018/04/29 00:00:00,2029/03/10 00:00:00,2029/03/10 00:00:00,2026/03/09 00:00:00,,,,,
OMIT,ONE MACKINAC,13900,C,2018/04/01 00:00:00,2018/04/01 00:00:00,2030/08/23 00:00:00,2030/08/23 00:00:00,2025/08/18 00:00:00,,,,,
AXQT,ADDISON,2824,C,2025/07/25 00:00:00,2025/08/15 00:00:00,2026/10/10 00:00:00,2026/11/10 00:00:00,,,,,,
SBFT,SEASPAN BENEFACTOR,10100,C,2024/06/28 00:00:00,2024/06/28 00:00:00,2029/04/28 00:00:00,2029/10/28 00:00:00,,,,,,
SCNT,SEASPAN BEACON,10100,C,2024/11/01 00:00:00,2024/11/01 00:00:00,2028/05/10 00:00:00,2028/11/10 00:00:00,,,,,,
SPDT,SEASPAN BEYOND,10100,C,2024/07/29 00:00:00,2024/07/29 00:00:00,2029/05/29 00:00:00,2029/11/29 00:00:00,,,,Qingdao Beihai,,
ONZT,ONE HANGZHOU BAY,8974,C,2018/05/18 00:00:00,2018/05/11 00:00:00,2030/12/14 00:00:00,2030/12/14 00:00:00,,,,,,
TIVT,ONE MOTIVATOR,6724,C,2018/04/14 00:00:00,2018/04/15 00:00:00,2030/10/15 00:00:00,2031/02/15 00:00:00,,,,,,
RI1T,RITA,2785,C,2021/11/16 00:00:00,2021/11/20 00:00:00,2027/01/01 00:00:00,2027/05/01 00:00:00,,,,,,
GRET,MH GREEN,3158,C,2023/10/11 00:00:00,2023/10/15 00:00:00,2026/09/26 00:00:00,2027/01/11 00:00:00,,,, Changhong, Zhoushan,,
DIYT,DIMITRIS Y,5936,C,2024/05/14 00:00:00,2024/05/20 00:00:00,2025/10/09 00:00:00,2025/12/24 00:00:00,2025/05/31 00:00:00,,,,,
LTRT,LORRAINE,2700,C,2022/08/08 00:00:00,2022/08/31 00:00:00,2027/07/23 00:00:00,2027/10/23 00:00:00,2026/09/30 00:00:00,,,,,
PNOT,ONE PARANA,11923,C,2022/06/22 00:00:00,2022/06/22 00:00:00,2027/06/22 00:00:00,2027/10/22 00:00:00,,,,,,
TIRT,ONE TRIBUTE,20170,C,2018/04/23 00:00:00,2018/04/23 00:00:00,2032/07/10 00:00:00,2032/07/10 00:00:00,2025/08/04 00:00:00,,,,,
MIOT,MITO,1118,C,2023/03/09 00:00:00,2023/03/10 00:00:00,2026/04/08 00:00:00,2026/06/08 00:00:00,,,,,,
XIMT,XIAMEN,4253,C,2023/10/28 00:00:00,2023/10/30 00:00:00,2027/12/28 00:00:00,2028/03/28 00:00:00,,,,,,
OMJT,ONE MAJESTY,6724,C,2018/04/22 00:00:00,2018/04/22 00:00:00,2029/11/21 00:00:00,2030/03/21 00:00:00,,,,,,
OTLT,ONE TREASURE,20182,C,2018/05/20 00:00:00,2018/05/14 00:00:00,2032/11/30 00:00:00,2033/03/31 00:00:00,,,,,,
OIGT,ONE TRADITION,20170,C,2018/04/19 00:00:00,2018/04/19 00:00:00,2032/08/31 00:00:00,2032/08/31 00:00:00,,,,,,
GCLT,GSL CHLOE,2546,C,2021/07/29 00:00:00,2021/07/31 00:00:00,2027/01/22 00:00:00,2027/04/07 00:00:00,,,,,,
SUKT,HANSA SIEGBURG,1738,C,2023/08/28 00:00:00,2023/08/30 00:00:00,2024/09/10 00:00:00,2024/09/29 00:00:00,,,,,,
YDNT,NORDERNEY,1930,C,2023/09/25 00:00:00,2023/09/30 00:00:00,2025/10/14 00:00:00,2025/10/15 00:00:00,,,,,,
OQRT,ONE TRUTH,20182,C,2018/05/27 00:00:00,2018/05/21 00:00:00,2032/08/31 00:00:00,2032/12/31 00:00:00,,,,,,
LKST,MALIAKOS,4400,C,2023/03/20 00:00:00,2023/03/21 00:00:00,2024/10/25 00:00:00,2024/10/25 00:00:00,,,,,,
OTRT,ONE TRITON,6661,C,2018/05/04 00:00:00,2018/05/02 00:00:00,2028/10/29 00:00:00,2029/02/28 00:00:00,,,,,,
LOVT,GIALOVA,4578,C,2024/05/23 00:00:00,2024/05/30 00:00:00,2029/04/01 00:00:00,2029/06/01 00:00:00,,,,,,
TGBT,TS NINGBO,4253,C,2024/05/31 00:00:00,2024/05/29 00:00:00,2025/10/13 00:00:00,2025/10/25 00:00:00,,,,,,
PCPT,ESPERANCE,1436,C,2025/11/11 00:00:00,2025/11/30 00:00:00,2027/10/11 00:00:00,2028/01/11 00:00:00,,,,,,
NMOT,ONE MAGDALENA,11923,C,2022/06/29 00:00:00,2022/08/30 00:00:00,2027/06/29 00:00:00,2027/10/29 00:00:00,,,,,,
IUMT,ONE TRIUMPH,20170,C,2018/04/02 00:00:00,2018/04/02 00:00:00,2032/03/27 00:00:00,2032/03/27 00:00:00,2025/06/26 00:00:00,,,,,
GMET,GSL MERCER,2824,C,2021/11/06 00:00:00,2021/11/15 00:00:00,2027/01/21 00:00:00,2027/04/06 00:00:00,,,,,,
DAPT,DAPHNE,3092,C,2021/11/03 00:00:00,2021/11/20 00:00:00,2027/01/01 00:00:00,2027/05/01 00:00:00,,,,,,
ORIT,ONE ORINOCO,11923,C,2022/08/27 00:00:00,2022/09/30 00:00:00,2027/08/27 00:00:00,2027/12/27 00:00:00,,,,,,
NCMT,ONE MONACO,13900,C,2018/05/23 00:00:00,2017/05/15 00:00:00,2033/01/02 00:00:00,2033/01/02 00:00:00,2026/05/20 00:00:00,,,,,
OETT,ONE TRUST,20170,C,2018/04/16 00:00:00,2018/04/16 00:00:00,2032/06/01 00:00:00,2032/06/01 00:00:00,,,,,,
DLAT,DALIAN,4253,C,2023/03/06 00:00:00,2023/03/15 00:00:00,2028/04/06 00:00:00,2028/07/22 00:00:00,,,,,,
USNT,AS SUSANNA,1713,C,2022/03/21 00:00:00,2022/04/01 00:00:00,2027/03/07 00:00:00,2027/06/05 00:00:00,,,,Xinya Zhoushan,,
ICLT,CONSILIA,1091,C,2022/04/01 00:00:00,2022/04/15 00:00:00,2026/04/08 00:00:00,2026/06/08 00:00:00,,,,,,
EFVT,EF OLIVIA,3091,C,2023/08/23 00:00:00,2023/08/22 00:00:00,2025/08/13 00:00:00,2025/08/19 00:00:00,,,,,,
OTTT,AS CARLOTTA,2741,C,2023/02/25 00:00:00,2023/02/26 00:00:00,2026/05/01 00:00:00,2026/06/30 00:00:00,,,,,,
OEIT,ONE MEISHAN,13900,C,2018/06/06 00:00:00,2018/06/06 00:00:00,2033/06/06 00:00:00,2033/06/06 00:00:00,,,,,,
REDT,ONE FREEDOM,15258,C,2022/10/12 00:00:00,2022/10/12 00:00:00,2027/10/12 00:00:00,2028/02/12 00:00:00,,,,,,
ODDT,ONE MADRID,13900,C,2018/04/24 00:00:00,2018/04/22 00:00:00,2033/04/24 00:00:00,2033/04/24 00:00:00,,,,,,
OZAT,ONE AMAZON,11923,C,2022/09/08 00:00:00,2022/10/30 00:00:00,2027/09/08 00:00:00,2028/01/08 00:00:00,,,,,,
GEAT,HANNAH SCHULTE,2572,C,2022/01/13 00:00:00,2022/01/14 00:00:00,2025/03/11 00:00:00,2025/03/13 00:00:00,,,,,,
CPFT,CAPE FERROL,1440,C,2024/12/27 00:00:00,2024/12/27 00:00:00,2026/02/28 00:00:00,2026/03/27 00:00:00,,,,,,
NEDT,BENEDIKT,1118,C,2024/03/09 00:00:00,2024/03/13 00:00:00,2024/10/25 00:00:00,2024/10/29 00:00:00,,,,,,
TDNT,TS DALIAN,2741,C,2024/05/13 00:00:00,2024/05/17 00:00:00,2025/09/10 00:00:00,2025/09/14 00:00:00,,,,,,
OFFT,ONE FUTURE,15516,C,2024/04/17 00:00:00,2024/04/16 00:00:00,2029/04/17 00:00:00,2029/08/17 00:00:00,,,,,,
OEAT,ONE MAESTRO,6724,O,,,,,2028/07/15 00:00:00,,,,,
ORWT,ONE FORWARD,15258,C,2024/03/29 00:00:00,2024/03/29 00:00:00,2029/03/29 00:00:00,2029/07/29 00:00:00,,,,,,
DINT,ONE READINESS,7214,C,2023/11/07 00:00:00,2023/11/07 00:00:00,2033/08/09 00:00:00,2034/02/05 00:00:00,,,,,,
TSCT,ST SUCCESS,2553,C,2018/04/14 00:00:00,2018/04/14 00:00:00,2025/09/18 00:00:00,2025/09/30 00:00:00,,,,,,
H1WT,WAN HAI 358,3013,C,2025/04/26 00:00:00,2025/05/10 00:00:00,2026/02/27 00:00:00,2026/04/27 00:00:00,2025/01/21 00:00:00,,,,,
IGTT,ONE INGENUITY,24136,C,2023/12/02 00:00:00,2023/12/01 00:00:00,2038/12/02 00:00:00,2038/12/02 00:00:00,,,,,,
ISPT,ONE INSPIRATION,24136,C,2023/12/06 00:00:00,2023/12/06 00:00:00,2038/12/06 00:00:00,2038/12/06 00:00:00,,,,,,
TLIT,ONE INTELLIGENCE,24136,C,2023/12/23 00:00:00,2023/12/23 00:00:00,2038/12/23 00:00:00,2038/12/23 00:00:00,,,,,,
DNCT,DELPHINUS C,4888,C,2023/11/13 00:00:00,2024/01/01 00:00:00,2026/11/30 00:00:00,2027/03/15 00:00:00,2025/10/29 00:00:00,,,,,
NECT,ESSENCE,1436,C,2023/07/22 00:00:00,2023/07/23 00:00:00,2027/10/22 00:00:00,2028/01/22 00:00:00,,,,,,
DOAT,RDO ACE,10100,C,2023/02/17 00:00:00,2023/02/18 00:00:00,2028/04/08 00:00:00,2028/07/07 00:00:00,,,,,,
FRNT,ONE FRONTIER,15258,C,2023/07/28 00:00:00,2023/07/28 00:00:00,2028/07/28 00:00:00,2028/11/28 00:00:00,,,,,,
RCMT,MARIA C,2664,C,2023/05/29 00:00:00,2023/05/29 00:00:00,2026/06/13 00:00:00,2026/09/29 00:00:00,,,,,,
EGGT,ONE INTEGRITY,24136,C,2023/07/25 00:00:00,2023/07/25 00:00:00,2038/07/25 00:00:00,2038/07/25 00:00:00,,,,,,
NEOT,MARINA ONE,2741,C,2025/12/08 00:00:00,2025/12/08 00:00:00,2027/11/14 00:00:00,2028/02/14 00:00:00,,,,,,
CXOT,CONTSHIP FOX,1096,C,2023/09/14 00:00:00,2023/09/15 00:00:00,2024/09/14 00:00:00,2024/09/15 00:00:00,,,,,,
PSHT,CAPE HELLAS,2756,C,2024/08/05 00:00:00,2024/08/15 00:00:00,2026/07/20 00:00:00,2026/10/05 00:00:00,,,,,,
FROT,ONE FRIENDSHIP,15250,C,2023/04/26 00:00:00,2023/04/26 00:00:00,2028/04/26 00:00:00,2028/08/26 00:00:00,,,,,,
LNNT,LANGENESS,1781,C,2023/09/19 00:00:00,2023/09/21 00:00:00,2026/02/01 00:00:00,2026/03/20 00:00:00,2028/09/01 00:00:00,,,,,
IKET,HSL NIKE,2556,C,2025/03/05 00:00:00,2025/02/28 00:00:00,2027/02/20 00:00:00,2027/05/20 00:00:00,,,,,,
OABT,ONE RELIABILITY,7214,C,2024/06/12 00:00:00,2024/06/12 00:00:00,2034/03/14 00:00:00,2034/09/10 00:00:00,,,,,,
LTST,ONE ATLAS,4253,O,,,,,2028/08/26 00:00:00,,,,,
ITYT,ONE INFINITY,24136,C,2023/07/12 00:00:00,2023/07/12 00:00:00,2038/07/12 00:00:00,2038/07/12 00:00:00,,,,Zhoushan Xinya,,
FLNT,CAPE FELTON,1440,C,2024/01/11 00:00:00,2024/01/12 00:00:00,2025/11/15 00:00:00,2025/12/09 00:00:00,2028/04/01 00:00:00,,,,,
CDST,CAP ANDREAS,6622,C,2023/04/30 00:00:00,2023/05/15 00:00:00,2030/04/30 00:00:00,2030/07/30 00:00:00,,,,,,
RSCT,ONE REASSURANCE,7214,C,2023/11/08 00:00:00,2023/11/09 00:00:00,2033/11/06 00:00:00,2034/02/07 00:00:00,,,,,,
FANT,ONE FANTASTIC,15516,C,2023/11/27 00:00:00,2023/11/28 00:00:00,2028/11/28 00:00:00,2029/03/28 00:00:00,,,,,,
OFVT,ONE FOREVER,15258,C,2024/03/18 00:00:00,2024/03/16 00:00:00,2029/03/18 00:00:00,2029/07/18 00:00:00,,,,,,
WBKT,WADI BANI KHALID,4250,C,2023/12/29 00:00:00,2023/12/30 00:00:00,2025/09/27 00:00:00,2025/10/29 00:00:00,,,,,,
SRKT,SPARKLE,2553,C,2018/04/14 00:00:00,2018/04/14 00:00:00,2025/02/09 00:00:00,2025/02/13 00:00:00,,,,,,
HYKT,HYUNDAI HONGKONG,6999,C,2024/06/23 00:00:00,2024/06/30 00:00:00,2025/06/23 00:00:00,2025/06/23 00:00:00,,,,,,
UERT,ONE FRUITION,15258,C,2023/05/26 00:00:00,2023/05/25 00:00:00,2028/05/26 00:00:00,2028/09/26 00:00:00,,,,,,
ZGST,ZHONG GU SHAN DONG,3398,C,2025/11/06 00:00:00,2025/11/10 00:00:00,2027/10/06 00:00:00,2028/02/06 00:00:00,,,,,,
YUDT,HYUNDAI BUSAN,6987,C,2024/05/19 00:00:00,2024/05/26 00:00:00,2025/05/27 00:00:00,2025/06/19 00:00:00,,,,,,
NLVT,NAVIOS LAPIS,4256,C,2024/06/29 00:00:00,2024/06/30 00:00:00,2026/06/13 00:00:00,2026/10/29 00:00:00,,,,,,
OGOT,ONE RECOGNITION,7214,C,2024/01/30 00:00:00,2024/01/30 00:00:00,2034/01/28 00:00:00,2034/04/30 00:00:00,,,,,,
OLUT,ONE RESOLUTION,7098,C,2024/09/13 00:00:00,2024/09/13 00:00:00,2034/06/15 00:00:00,2034/12/12 00:00:00,,,,,,
BAIT,SPIRIT OF DUBAI,1131,C,2024/06/12 00:00:00,2024/06/12 00:00:00,2026/06/01 00:00:00,2026/10/30 00:00:00,,,,,,
OILT,CORNEILLE,6572,C,2024/08/04 00:00:00,2024/09/15 00:00:00,2027/08/04 00:00:00,2027/11/04 00:00:00,,,,,,
BHHT,BACH,3534,C,2024/10/02 00:00:00,2024/09/25 00:00:00,2026/04/02 00:00:00,2026/07/02 00:00:00,,,,,,
ORMT,ONE RECOMMENDATION,7214,C,2024/03/25 00:00:00,2024/03/26 00:00:00,2033/12/26 00:00:00,2034/06/24 00:00:00,,,,,,
OFUT,ONE FORTUNE,15258,C,2024/06/22 00:00:00,2024/06/22 00:00:00,2029/06/22 00:00:00,2029/10/22 00:00:00,,,,,,
LAAT,BALLATA,1118,C,2024/10/25 00:00:00,2024/10/25 00:00:00,2027/04/20 00:00:00,2027/06/20 00:00:00,2026/01/01 00:00:00,,,,,
OFOT,ONE FOCUS,15258,C,2024/04/04 00:00:00,2024/04/05 00:00:00,2029/04/05 00:00:00,2029/08/05 00:00:00,,,,,,
ORXT,ONE RESILIENCE,7098,C,2024/07/30 00:00:00,2024/07/30 00:00:00,2034/05/01 00:00:00,2034/10/28 00:00:00,,,,,,
CYCT,VIVALDI,2546,C,2024/11/25 00:00:00,2024/11/30 00:00:00,2026/11/09 00:00:00,2027/02/25 00:00:00,2029/11/11 00:00:00,,,,,
ORFT,ONE REINFORCEMENT,7214,C,2024/05/07 00:00:00,2024/05/08 00:00:00,2034/05/06 00:00:00,2034/08/06 00:00:00,,,,,,
ORPT,ONE REPUTATION,7214,C,2024/06/18 00:00:00,2024/06/19 00:00:00,2034/03/21 00:00:00,2034/09/17 00:00:00,,,,,,
SAZT,AS ANNE,2194,C,2024/11/25 00:00:00,2024/11/25 00:00:00,2025/01/12 00:00:00,2025/01/10 00:00:00,2026/06/05 00:00:00,,,,,
NOTT,SC HOUSTON,2796,C,2024/12/12 00:00:00,2024/12/22 00:00:00,2026/11/27 00:00:00,2027/03/12 00:00:00,2025/11/28 00:00:00,,,,,
SZFT,SAN FRANCISCO,6938,C,2024/10/15 00:00:00,2024/10/15 00:00:00,2028/03/30 00:00:00,2028/08/15 00:00:00,2026/08/31 00:00:00,,,,,
TUNT,STARSHIP NEPTUNE,2548,C,2024/10/26 00:00:00,2024/10/26 00:00:00,2025/12/26 00:00:00,2025/12/26 00:00:00,,,,,,
PGST,SPIL NINGSIH,2532,C,2025/07/01 00:00:00,2025/07/01 00:00:00,2026/11/08 00:00:00,2027/02/08 00:00:00,2026/11/05 00:00:00,,,,,
PXET,PHOEBE,6014,C,2025/01/26 00:00:00,2025/01/28 00:00:00,2026/12/26 00:00:00,2027/03/26 00:00:00,,,,,,
PTRT,ONE SPRINTER,13828,O,,,,,,,,,20250821,HHI
RJ1T,REN JIAN 10,4298,C,2025/04/21 00:00:00,2025/04/23 00:00:00,2027/03/21 00:00:00,2027/05/21 00:00:00,,,,,,
LRLT,IRENES RALLY,2824,C,2025/09/18 00:00:00,2025/10/05 00:00:00,2028/07/18 00:00:00,2028/11/18 00:00:00,,,,,,
HYZT,HYUNDAI PLUTO,10081,C,2025/07/18 00:00:00,2025/07/25 00:00:00,2027/03/31 00:00:00,2027/07/31 00:00:00,,,,,,
RBZT,SINAR BANDA,1060,C,2025/02/17 00:00:00,2025/02/18 00:00:00,2025/04/01 00:00:00,2025/04/15 00:00:00,,,,,,
IGGT,SINAR BUKITTINGGI,1528,C,2025/04/25 00:00:00,2025/04/25 00:00:00,2026/03/12 00:00:00,2026/07/12 00:00:00,2028/07/31 00:00:00,,,,,
OMUT,ONE PREMIUM,6350,C,2025/09/10 00:00:00,2025/11/10 00:00:00,2032/09/10 00:00:00,2033/02/10 00:00:00,2026/03/17 00:00:00,,,,,
OSGT,ONE SINGAPORE,13932,O,,,,,2028/06/30 00:00:00,,,,20250630,IMABARI SHIPBUILDING YARD
STYT,STRAITS CITY,1096,C,2025/08/17 00:00:00,2025/08/20 00:00:00,2026/05/01 00:00:00,2026/05/29 00:00:00,,,,,,
OPPT,ONE SAPPHIRE,13932,O,,,,,2028/06/11 00:00:00,,,,20250612,NSY 
OSYT,ONE SERENITY,13932,O,,,,,2028/06/11 00:00:00,,,,20251219,IMABARI SHIPBUILDING CO., LTD	
OYNT,ONE SYNERGY,13932,O,,,,,,,,,20251121,IMABARI SHIPBUILDING CO.,LTD.	
HPHT,ONE SPHERE,13828,O,,,,,2028/03/20 00:00:00,,,,20250321,HHI
OSLT,ONE SPLENDOUR,13828,O,,,,,2028/06/16 00:00:00,,,,20250617,HHI
EUJT,ERASMUS NINJA,2548,C,2025/11/17 00:00:00,2025/11/17 00:00:00,2026/10/29 00:00:00,2026/12/29 00:00:00,2027/11/01 00:00:00,,,,,
STFT,ONE SATISFACTION,13700,O,,,,,2028/06/11 00:00:00,,,,,NSY 
BFGT,BF GIANT,4290,C,2025/05/01 00:00:00,2025/05/10 00:00:00,2027/04/16 00:00:00,2027/07/16 00:00:00,2025/03/25 00:00:00,,,,,
OPKT,ONE SPARKLE,13828,O,,,,,2028/03/09 00:00:00,,,,20250310,HHI
OITT,ONE SPIRIT,13828,O,,,,,2028/04/16 00:00:00,,,,20250417,HHI
BSKT,BRIGHT SAKURA,2888,C,2025/02/20 00:00:00,2025/02/20 00:00:00,2026/09/01 00:00:00,2026/11/15 00:00:00,2028/10/25 00:00:00,,,,,
OGHT,ONE STRENGTH,13932,O,,,,,,,,,20250919,IMABARI SHIPBUILDING CO., LTD	
XLHT,X-PRESS KAILASH,2741,C,2025/03/04 00:00:00,2025/03/04 00:00:00,2027/02/04 00:00:00,2027/06/04 00:00:00,,,,,,
OECT,ONE PRESENCE,6326,C,2025/10/15 00:00:00,2026/01/22 00:00:00,2032/12/15 00:00:00,2033/03/15 00:00:00,,,,,,
SWDT,SMOOTH WIND,1708,C,2025/04/09 00:00:00,2025/04/15 00:00:00,2026/10/09 00:00:00,2026/12/09 00:00:00,,,,,,
RBTT,RUBY TOWER,8979,C,2025/09/14 00:00:00,2025/09/13 00:00:00,2030/09/14 00:00:00,2030/12/14 00:00:00,,,,,,
BFHT,BF HAMBURG,6494,C,2025/05/22 00:00:00,2025/07/20 00:00:00,2028/04/22 00:00:00,2028/07/22 00:00:00,,,,,,
ODGT,ONE SAN DIEGO,6350,O,,,,,,,,,,
OEHT,ONE HUMEN,9040,O,,,,,2028/04/09 00:00:00,,,,,
SIKT,SPIL KARTINI,4218,C,2025/02/06 00:00:00,2025/05/21 00:00:00,2027/01/28 00:00:00,2027/04/28 00:00:00,2026/02/14 00:00:00,,,,,
BRFT,BRIGHT FUJI,1878,C,2025/01/06 00:00:00,2024/12/29 00:00:00,2026/07/01 00:00:00,2026/09/30 00:00:00,2029/03/04 00:00:00,,,,,
OSIT,ONE SHINE,13700,O,,,,,2028/06/11 00:00:00,,,,,NSY 
IMPT,ONE SIMPLICITY,13700,O,,,,,2028/06/11 00:00:00,,,,,NSY 
OERT,ONE SINCERITY,13932,O,,,,,2028/08/11 00:00:00,,,,20250812,IMABARI SHIPBUILDING CO., LTD (HIROSHIMA SHIPYARD)		
ETWT,EMERALD TOWER,8827,C,2025/12/27 00:00:00,2026/02/14 00:00:00,2030/12/27 00:00:00,2031/03/27 00:00:00,,,,,,
SGNT,SONGA SUCCESS,2553,C,2025/09/21 00:00:00,2025/09/30 00:00:00,2027/09/01 00:00:00,2027/10/31 00:00:00,,,,,,
XXXX,ONE HORIZON,24136,C,2023/07/25 00:00:00,2023/07/25 00:00:00,2038/07/25 00:00:00,2038/07/25 00:00:00,,,,,,
RGHT,GREENHOUSE,6014,C,2025/11/15 00:00:00,2025/12/04 00:00:00,2027/10/15 00:00:00,2028/01/15 00:00:00,2030/01/01 00:00:00,,,,,
EFUT,ERASMUS FUTURE,1096,C,2025/11/28 00:00:00,2025/11/30 00:00:00,2026/11/28 00:00:00,2027/01/28 00:00:00,,,,,,
ADXT,ADMIRAL SUN,998,C,2025/12/23 00:00:00,2026/01/02 00:00:00,2026/10/23 00:00:00,2027/01/23 00:00:00,,,,,,
ITXT,ITHACA,1930,C,2025/10/14 00:00:00,2025/10/15 00:00:00,2027/09/29 00:00:00,2027/12/29 00:00:00,,,,,,
