FM_PORT_CD,TO_PORT_CD,DSTN,ECA_DSTN
JPUKB,KRPUS,327,0
JPUKB,SGSIN,2668,0
JPUKB,THLCH,2691,0
JPUKB,TWKHH,1122,0
JPUKB,USLAX,5098,373
JPUKB,VNHPH,1820,0
JPYOK,CNYTN,1589,0
JPYOK,HKHKG,1579,0
JPYOK,TWKHH,1349,0
JPYUR,JPUKB,27,0
KRINC,CNNGB,510,0
KRINC,CNSHA,455,0
KRINC,CNTAO,328,0
KRKAN,CAVAN,4570,458
KRKAN,CNDLC,514,0
KRKAN,CNSHA,389,0
KRKAN,CNSHG,393,0
KRKAN,CNTAO,435,0
KRKAN,CNTXG,658,0
KRKAN,HKHKG,1089,0
KRKAN,KRINC,335,0
KRKAN,KRPUS,78,0
KRKAN,TWKHH,873,0
KRPUS,CAPRR,4130,322
KRPUS,CAVAN,4571,457
KRPUS,CNDLC,543,0
KRPUS,CNLYG,505,0
KRPUS,CNNBO,497,0
KRPUS,CNNGB,497,0
KRPUS,CNSHA,447,0
KRPUS,CNSHG,440,0
KRPUS,CNSHK,1153,0
KRPUS,CNTAO,488,0
KRPUS,CNTXG,688,0
KRPUS,CNXMN,885,0
KRPUS,CNYTN,1135,0
KRPUS,CNZOS,481,0
KRPUS,COCNR,14334,0
KRPUS,EGSCA,7596,0
KRPUS,HKHKG,1136,0
KRPUS,JOAQJ,7370,0
KRPUS,JPNGO,554,0
KRPUS,JPTYO,840,0
KRPUS,JPUKB,327,0
KRPUS,KRINC,384,0
KRPUS,KRKAN,78,0
KRPUS,MXLZC,6512,0
KRPUS,MXZLO,6376,0
KRPUS,PAMIT,8120,0
KRPUS,PAPCA,8190,0
KRPUS,PAPCN,8190,0
KRPUS,PAROD,6376,0
KRPUS,SGSIN,2471,0
KRPUS,THLCH,2571,0
KRPUS,TWKHH,912,0
KRPUS,USHOU,15443,242
KRPUS,USLAX,5302,373
KRPUS,USLGB,5302,373
KRPUS,USNYC,4737,380
KRPUS,USOAK,4927,306
KRPUS,USSAV,14808,206
KRPUS,USSEA,4554,457
KRPUS,USTIW,4575,457
LKCMB,AEJEA,2049,0
LKCMB,CAHAL,10834,282
LKCMB,EGSCA,3506,0
LKCMB,EGSUZ,3506,0
LKCMB,ESALG,9439,0
LKCMB,GBLGP,10465,342
LKCMB,MYPKG,1391,0
LKCMB,SGSIN,1584,0
LKCMB,USNYC,11124,207
MAPTM,EGDAM,1907,0
MAPTM,EGSCA,1987,0
MAPTM,EGSUZ,1987,0
MAPTM,ESVLC,412,0
MAPTM,GBSOU,1144,190
MAPTM,ITGOA,870,0
MATNG,CNTXG,13278,0
MATNG,EGDAM,1907,0
MATNG,EGSCA,1987,0
MATNG,EGSUZ,1987,0
MATNG,ESBCN,539,0
MATNG,ESVLC,412,0
MATNG,GBLGP,1296,313
MATNG,GBSOU,1144,190
MATNG,ITGOA,870,0
MATNG,ITLIV,887,0
MATNG,KRPUS,13172,0
MATNG,NLRTM,1374,397
MATNG,SGSIN,10705,0
MNTNG,EGDAM,1907,0
MNTNG,EGSCA,1987,0
MNTNG,EGSUZ,1987,0
MNTNG,ESVLC,412,0
MNTNG,GBSOU,1144,190
MNTNG,ITGOA,870,0
MXATM,FRLEH,4924,211
MXATM,GBLGP,5067,661
MXATM,GBSOU,4940,661
MXATM,MXVER,230,0
MXATM,USHOU,477,242
MXATM,USMSY,584,229
MXLZC,PAPCA,1593,0
MXTUX,MXATM,105,0
MXTUX,MXVER,137,0
MXVER,MXATM,230,0
MXVER,MXTUX,143,0
MXVER,USHOU,645,242
MXZLO,KRPUS,6387,0
MXZLO,PAPCA,1756,27
MXZLO,TWKHH,7234,0
MYPKG,AEJEA,3316,0
MYPKG,CNNGB,2280,0
MYPKG,CNSHA,2380,0
MYPKG,CNSHG,2380,0
MYPKG,HKHKG,1620,0
MYPKG,INNSA,2259,0
MYPKG,INPAV,2369,0
MYPKG,KRPUS,2713,0
MYPKG,LKCMB,1550,0
MYPKG,SAJED,4204,0
MYPKG,SGSIN,184,0
MYPKG,TWKHH,1808,0
NLRTM,BEANR,64,64
NLRTM,BEZEE,50,50
NLRTM,DEBRV,227,227
NLRTM,DEHAM,230,230
NLRTM,DEWVN,185,185
NLRTM,EGSCA,3352,420
NLRTM,EGSUZ,3352,420
NLRTM,ESALG,1652,420
NLRTM,ESFRO,790,415
NLRTM,FRBES,497,420
NLRTM,FRDKK,96,96
NLRTM,FRLEH,225,225
NLRTM,GBFXT,121,121
NLRTM,GBLGP,111,111
NLRTM,GBSOU,204,204
NLRTM,MAPTM,1374,397
NLRTM,MATNG,1374,397
NLRTM,PLGDN,981,0
NLRTM,SGSIN,11855,406
NLRTM,USNYC,3375,878
OMSOH,MYPKG,3184,0
OMSOH,SGSIN,3280,0
PABLB,CNNBO,8622,0
PABLB,CNNGB,8622,0
PABLB,JPTYO,7714,0
PABLB,KRPUS,8120,0
PABLB,PAPCA,1,0
PABLB,PAPCN,1,0
PABLB,TWKHH,9019,0
PABLB,USLAX,2921,70
PABLB,USOAK,3276,440
PAMIT,KRPUS,8120,0
PAMIT,PAPCA,1,0
PAMIT,PAPCN,1,0
PAMIT,TWKHH,8988,0
PAMIT,USJAX,1505,224
PAMIT,USLAX,2951,70
PAMIT,USNYC,1948,380
PAMIT,USORF,1777,290
PAMIT,USSAV,1528,117
PAPCA,CAHAL,2298,282
PAPCA,CNNBO,8638,0
PAPCA,CNNGB,8638,0
PAPCA,CNSHA,8581,0
PAPCA,CNTAO,8632,0
PAPCA,CNYTN,9196,215
PAPCA,COCNR,227,0
PAPCA,COCTG,227,0
PAPCA,COSPC,227,0
PAPCA,DOCAU,835,0
PAPCA,GBSOU,4581,150
PAPCA,GTPRQ,930,0
PAPCA,HKHKG,9235,0
PAPCA,JPTYO,7732,0
PAPCA,KRPUS,8190,0
PAPCA,MXZLO,1756,27
PAPCA,PABLB,1,0
PAPCA,PAMIT,1,0
PAPCA,PAROD,1,0
PAPCA,SGSIN,12832,0
PAPCA,TWKHH,9037,0
PAPCA,USCHS,1580,211
PAPCA,USHOU,1507,150
PAPCA,USLAX,2939,70
PAPCA,USLGB,2936,70
PAPCA,USMOB,1398,264
PAPCA,USNYC,1970,380
PAPCA,USOAK,3294,440
PAPCA,USORF,1826,290
PAPCA,USSAV,1560,205
PAPCN,CNNBO,8638,0
PAPCN,CNSHA,8581,0
PAPCN,CNTAO,8632,0
PAPCN,COCTG,227,0
PAPCN,DOCAU,835,0
PAPCN,GBSOU,4581,150
PAPCN,GTPRQ,930,0
PAPCN,JPTYO,7732,0
PAPCN,KRPUS,8190,0
PAPCN,PABLB,1,0
PAPCN,PAMIT,1,0
PAPCN,PAROD,1,0
PAPCN,TWKHH,9037,0
PAPCN,USLAX,2939,70
PAPCN,USLGB,2936,70
PAPCN,USNYC,1970,380
PAPCN,USOAK,3294,440
PAPCN,USORF,1826,290
PAPCN,USSAV,1560,205
PAROD,CNNBO,8621,0
PAROD,CNNGB,8621,0
PAROD,COBUN,438,0
PAROD,GBSOU,4613,185
PAROD,GTPRQ,898,0
PAROD,HKHKG,8768,0
PAROD,JPTYO,7714,0
PAROD,KRPUS,8190,0
PAROD,MXZLO,1737,0
PAROD,PAPCA,1,0
PAROD,PAPCN,1,0
PAROD,TWKHH,9019,0
PAROD,USLAX,2921,70
PAROD,USLGB,2926,62
PAROD,USOAK,3243,461
PLGDN,NLRTM,981,981
PTLIS,CAHAL,2429,391
PTLIS,FRLEH,881,216
QAHMD,AEAUH,178,0
QAHMD,AEJEA,196,0
QAHMD,IQUQR,349,0
QAHMD,MYPKG,3484,0
QAHMD,SAJUB,225,0
QAHMD,SGSIN,1284,0
SADMM,AEAUH,291,0
SADMM,IQUQR,300,0
SADMM,QAHMD,180,0
SADMM,SAJUB,36,0
SADMM,SGSIN,3003,0
SAJED,AEJEA,2252,0
SAJED,CNSHA,7341,0
SAJED,EGDAM,879,0
SAJED,EGSCA,674,0
SAJED,EGSUZ,674,0
SAJED,ESBCN,2311,0
SAJED,JOAQJ,569,0
SAJED,LKCMB,2850,0
SAJED,SGSIN,4397,0
SAJED,THLCH,5494,0
SAJUB,AEAUH,325,0
SAJUB,AEJEA,307,0
SAJUB,OMSOH,481,0
SAJUB,QAHMD,225,0
SAJUB,SADMM,36,0
SGSIN,AEJEA,3509,0
SGSIN,BEZEE,11689,300
SGSIN,CAHAL,12162,228
SGSIN,CNDLC,2619,0
SGSIN,CNNBO,2079,0
SGSIN,CNNGB,2079,0
SGSIN,CNNSA,1410,0
SGSIN,CNNSS,1426,0
SGSIN,CNSHA,2129,0
SGSIN,CNSHG,2172,0
SGSIN,CNSHK,1411,0
SGSIN,CNTAO,2485,0
SGSIN,CNTXG,2764,0
SGSIN,CNXMN,1637,0
SGSIN,CNYTN,1460,0
SGSIN,CNZOS,2070,0
SGSIN,EGAKI,12482,0
SGSIN,EGDAM,12603,0
SGSIN,EGSCA,5048,0
SGSIN,EGSUZ,5048,0
SGSIN,ESALG,10688,0
SGSIN,ESBCN,11199,0
SGSIN,ESVLC,11094,0
SGSIN,GBFXT,11686,320
SGSIN,GBSOU,11535,185
SGSIN,GRPIR,12165,0
SGSIN,HKHKG,1413,0
SGSIN,ILASH,12689,0
SGSIN,INNSA,2452,0
SGSIN,INPAV,2562,0
SGSIN,JPNGO,2755,0
SGSIN,JPSMZ,2819,0
SGSIN,JPTYO,2872,0
SGSIN,JPUKB,2668,0
SGSIN,KRPUS,2479,0
SGSIN,LKCMB,1578,0
SGSIN,MATNG,10655,0
SGSIN,MTMAR,11678,0
SGSIN,MYPKG,184,0
SGSIN,NLRTM,11755,402
SGSIN,SAJED,4397,0
SGSIN,TGLFW,8190,0
SGSIN,THLCH,778,0
SGSIN,TRIST,12484,0
SGSIN,TWKHH,1606,0
SGSIN,USNYC,12416,243
SGSIN,VNCMP,578,0
SGSIN,VNHPH,1322,0
SGSIN,VNVUT,578,0
THLCH,CNNBO,2101,0
THLCH,CNNGB,2101,0
THLCH,CNSHG,2238,0
THLCH,CNTAO,2590,0
THLCH,CNXMN,1666,0
THLCH,CNYTN,1563,0
THLCH,HKHKG,1504,0
THLCH,SGSIN,790,0
THLCH,TWKHH,1715,0
THLCH,VNCMP,659,0
THLCH,VNVUT,671,0
TRALI,EGDAM,554,0
TRALI,EGSCA,627,0
TRALI,ILASH,625,0
TRALI,TRMER,557,0
TRGEM,TRALI,238,0
TRIST,ILASH,877,0
TRIST,TRALI,259,0
TRIST,TRGEM,50,0
TRIST,TRIZT,53,0
TRIST,TRMER,791,0
TRIST,TRTEK,85,0
TRIZT,ILASH,877,0
TRIZT,TRALI,298,0
TRIZT,TRIST,53,0
TRIZT,TRMER,830,0
TRIZT,TRTEK,120,0
TRMER,EGDAM,426,0
TRMER,EGSCA,400,0
TRMER,EGSUZ,400,0
TRMER,GRPIR,600,0
TRMER,ILASH,289,0
TRMER,SGSIN,12645,0
TRMER,TRALI,606,0
TRTEK,EGAKI,700,0
TRTEK,ILASH,800,0
TRTEK,SGSIN,12500,0
TRTEK,TRIST,120,0
TRYAL,GBLGP,3117,352
TWKEL,CNNGB,322,0
TWKEL,CNSHA,506,0
TWKEL,TWKHH,240,0
TWKEL,USLAX,5930,373
TWKEL,USOAK,5629,306
TWKHH,CNDCB,364,0
TWKHH,CNNBO,518,0
TWKHH,CNNGB,518,0
TWKHH,CNSHA,560,0
TWKHH,CNSHG,591,0
TWKHH,CNSHK,358,0
TWKHH,CNTAO,918,0
TWKHH,CNXMN,176,0
TWKHH,CNYTN,341,0
TWKHH,CNZOS,507,0
TWKHH,EGSCA,7400,0
TWKHH,HKHKG,341,0
TWKHH,JPNGO,1218,0
TWKHH,KRPUS,912,0
TWKHH,SGSIN,1606,0
TWKHH,THLCH,1703,0
TWKHH,TWKEL,240,0
TWKHH,USLAX,6173,373
TWKHH,USLGB,6161,373
TWKHH,USORF,13278,290
TWKHH,USTIW,5515,457
TWKHH,VNCMP,1070,0
TWKHH,VNVUT,1070,0
USBAL,GBSOU,3443,600
USBAL,USORF,582,582
USBOS,USCHS,848,848
USBOS,USILM,747,747
USBOS,USORF,538,538
USCHS,CAHAL,1053,1053
USCHS,COCNR,1407,228
USCHS,COSPC,1407,228
USCHS,EGSCA,5580,363
USCHS,EGSUZ,5580,363
USCHS,ESALG,3623,458
USCHS,FRLEH,3596,582
USCHS,GBLGP,3747,722
USCHS,GBSOU,3553,566
USCHS,ITLIV,4879,405
USCHS,PAMIT,1544,185
USCHS,PAPCA,1563,185
USCHS,PAPCN,1563,185
USCHS,SGSIN,10536,185
USCHS,USHOU,1333,1333
USCHS,USILM,149,149
USCHS,USJAX,199,199
USCHS,USMIA,435,435
USCHS,USNYC,580,580
USCHS,USORF,403,403
USCHS,USPEF,392,392
USCHS,USSAV,68,68
USCHS,ZAZBA,7230,185
USHOU,BEANR,4984,605
USHOU,COCNR,1626,215
USHOU,DEHAM,5265,620
USHOU,EGSCA,6768,242
USHOU,FRLEH,4839,434
USHOU,GBLGP,4955,574
USHOU,GBSOU,4795,418
USHOU,HKHKG,14394,215
USHOU,MXATM,477,242
USHOU,PAMIT,1505,336
USHOU,PAPCA,1268,215
USHOU,TWKHH,14563,215
USHOU,USMOB,536,536
USHOU,USMSY,335,335
USHOU,USNYC,1859,1859
USHOU,USORF,1681,1681
USHOU,USPEF,961,961
USHOU,USSAV,1297,1297
USILM,COCNR,1452,201
USILM,PAMIT,1609,224
USILM,PAPCA,1613,224
USILM,USCHS,149,149
USILM,USJAX,715,715
USILM,USORF,301,301
USILM,USSAV,174,174
USJAX,CAHAL,1344,661
USJAX,PAMIT,2220,661
USJAX,PAPCA,1505,117
USJAX,USCHS,155,155
USJAX,USNYC,761,761
USJAX,USORF,583,583
USJAX,USSAV,117,117
USLAX,CAVAN,1105,1105
USLAX,CNNBO,5740,373
USLAX,CNNGB,5740,373
USLAX,CNSHA,5723,373
USLAX,CNSHG,5684,373
USLAX,CNTAO,5712,373
USLAX,CNXMN,6140,373
USLAX,CNYTN,6370,373
USLAX,HKHKG,6390,373
USLAX,JPTYO,4847,373
USLAX,JPUKB,5098,370
USLAX,KRPUS,5238,373
USLAX,PABLB,2921,70
USLAX,PAPCA,2939,70
USLAX,PAPCN,2939,70
USLAX,PAROD,2921,70
USLAX,SGSIN,7637,358
USLAX,TWKEL,5930,373
USLAX,TWKHH,6159,373
USLAX,USLGB,1,1
USLAX,USOAK,327,327
USLAX,USSEA,1084,1084
USLAX,USTIW,1105,1105
USLGB,CNTAO,5706,373
USLGB,CNXMN,6142,373
USLGB,HKHKG,4849,373
USLGB,JPUKB,5097,393
USLGB,KRPUS,5238,373
USLGB,PABLB,2918,70
USLGB,PAPCA,2936,70
USLGB,PAPCN,2936,70
USLGB,THLCH,7706,501
USLGB,USLAX,1,1
USLGB,USOAK,329,329
USLGB,USTIW,1105,1105
USMIA,COCNR,1127,31
USMIA,COSPC,1127,31
USMIA,ESALG,3859,31
USMIA,FRFOS,4547,31
USMIA,ITGOA,4695,31
USMIA,ITLIV,4707,405
USMIA,MXVER,1012,31
USMIA,PAPCA,1200,31
USMIA,USNYC,966,582
USMIA,USSAV,641,641
USMOB,COCNR,1500,284
USMOB,EGSCA,6497,264
USMOB,FRLEH,4605,455
USMOB,GBLGP,4723,595
USMOB,GBSOU,4674,439
USMOB,HKHKG,10598,264
USMOB,PAMIT,1363,264
USMOB,PAPCA,1532,228
USMOB,TWKHH,10351,264
USMOB,USHOU,443,443
USMOB,USMSY,172,172
USMSY,BEANR,4697,575
USMSY,FRLEH,4550,404
USMSY,GBLGP,4668,544
USMSY,GBSOU,4507,388
USMSY,PAPCA,1311,183
USMSY,USHOU,335,335
USMSY,USMOB,172,172
USMSY,USNYC,1571,1571
USNYC,BEANR,3325,743
USNYC,CAHAL,567,567
USNYC,EGSCA,5173,866
USNYC,EGSUZ,5173,866
USNYC,ESALG,3214,368
USNYC,GBLGP,3296,712
USNYC,GBSOU,3160,556
USNYC,NLRTM,3381,877
USNYC,SGSIN,12416,243
USNYC,THLCH,13141,243
USNYC,USBAL,410,410
USNYC,USBOS,358,358
USNYC,USCHS,580,580
USNYC,USJAX,791,791
USNYC,USMIA,966,582
USNYC,USORF,212,212
USNYC,USPEF,938,938
USNYC,USPHL,120,120
USNYC,USSAV,641,641
USOAK,CAVAN,770,770
USOAK,CNNBO,5430,306
USOAK,CNNGB,5430,306
USOAK,CNSHA,5430,306
USOAK,CNSHG,5373,306
USOAK,CNTAO,5421,306
USOAK,CNXMN,5841,306
USOAK,CNYTN,6089,306
USOAK,HKHKG,6091,306
USOAK,JPNGO,4672,306
USOAK,JPSMZ,4587,306
USOAK,JPTYO,4545,306
USOAK,JPUKB,4845,306
USOAK,JPYOK,4552,306
USOAK,KRPUS,4927,306
USOAK,PABLB,3276,440
USOAK,PAPCA,3294,440
USOAK,PAPCN,3294,440
USOAK,PAROD,3243,461
USOAK,SGSIN,7356,306
USOAK,TWKEL,5629,306
USOAK,TWKHH,5860,306
USOAK,USLAX,327,327
USOAK,USLGB,329,329
USOAK,USSEA,753,753
USOAK,USTIW,774,774
USORF,BEANR,3539,605
USORF,CAHAL,752,752
USORF,COCNR,1657,260
USORF,DEBRV,3726,819
USORF,EGSCA,5327,225
USORF,EGSUZ,5327,225
USORF,ESALG,3348,229
USORF,FRLEH,3302,436
USORF,GBLGP,3441,566
USORF,GBSOU,3253,387
USORF,KRPUS,14735,290
USORF,NLRTM,3497,631
USORF,PAMIT,1783,290
USORF,PAPCA,1826,0
USORF,PAPCN,1826,290
USORF,SGSIN,12378,225
USORF,THLCH,13139,230
USORF,TWKHH,13278,225
USORF,USBAL,172,172
USORF,USCHS,403,403
USORF,USILM,301,301
USORF,USJAX,583,583
USORF,USMIA,877,877
USORF,USNYC,212,212
USORF,USPHL,164,164
USORF,USSAV,464,464
USPEF,COCNR,1097,20
USPEF,PAPCA,1258,30
USPEF,USHOU,961,961
USPEF,USSAV,355,355
USPHL,USNYC,136,136
USPHL,USORF,143,143
USSAV,BEANR,3737,815
USSAV,CNYTN,13757,206
USSAV,COCNR,1340,256
USSAV,COCTG,1340,256
USSAV,COSPC,1340,256
USSAV,DEBRV,4090,994
USSAV,EGSCA,5648,260
USSAV,ESALG,3699,260
USSAV,FRLEH,3825,686
USSAV,GBLGP,3779,826
USSAV,GBSOU,3723,670
USSAV,ITLIV,4564,405
USSAV,ITSAL,4682,405
USSAV,KRPUS,14965,200
USSAV,MATNG,3665,405
USSAV,NLRTM,3865,804
USSAV,PAMIT,1534,205
USSAV,PAPCA,1560,0
USSAV,PAPCN,1560,205
USSAV,SGSIN,12447,206
USSAV,TWKHH,14082,206
USSAV,USCHS,68,68
USSAV,USHOU,1303,1303
USSAV,USILM,174,174
USSAV,USJAX,98,98
USSAV,USMIA,369,369
USSAV,USNYC,641,641
USSAV,USORF,464,464
USSAV,USPEF,361,361
USSEA,CAVAN,1,1
USSEA,HKHKG,5723,458
USSEA,JPTYO,4208,458
USSEA,KRKAN,4643,458
USSEA,KRPUS,4554,458
USSEA,USLAX,1087,1171
USSEA,USOAK,753,753
USSEA,USTIW,1,1
USTIW,CAPRR,557,557
USTIW,CAVAN,1,1
USTIW,CNSHA,5114,458
USTIW,CNXMN,5501,458
USTIW,HKHKG,5648,458
USTIW,JPTYO,4223,458
USTIW,JPUKB,4554,458
USTIW,KRKAN,4706,458
USTIW,KRPUS,4569,458
USTIW,PABLB,4045,370
USTIW,SGSIN,7053,458
USTIW,TWKHH,5509,458
USTIW,USLAX,1099,1099
USTIW,USOAK,768,768
VNCMP,CNSHA,1546,0
VNCMP,CNSHG,1629,0
VNCMP,CNTAO,1945,0
VNCMP,CNXMN,1095,0
VNCMP,CNYTN,918,0
VNCMP,CNZOS,1501,0
VNCMP,HKHKG,865,0
VNCMP,KRPUS,1925,0
VNCMP,LKCMB,2395,0
VNCMP,SGSIN,578,0
VNCMP,THLCH,659,0
VNCMP,TWKHH,1070,0
VNCMP,USLAX,7135,373
VNCMP,USLGB,7135,373
VNCMP,VNHPH,783,0
VNHPH,CNXMN,902,0
VNHPH,CNYTN,672,0
VNHPH,HKHKG,464,0
VNHPH,TWKHH,927,0
VNVUT,CNSHG,1629,0
VNVUT,CNTAO,1945,0
VNVUT,CNXMN,1095,0
VNVUT,CNYTN,918,0
VNVUT,CNZOS,1501,0
VNVUT,HKHKG,865,0
VNVUT,KRPUS,1925,0
VNVUT,SGSIN,578,0
VNVUT,THLCH,659,0
VNVUT,TWKHH,1070,0
VNVUT,USLAX,7135,373
VNVUT,USLGB,7135,373
VNVUT,VNHPH,783,0
ZAZBA,SGSIN,5267,0
DEHAME,EGSUZ,3620,632
EGSUZ,DEHAME,3620,632
